ica_best_comp,ica_qrs,ica_mean_fhr,ica_rel,ica_mae,ica_rmse,ica_rel_dist,record,reliability,mean_bpm_f,mean_real_bpm_f,isSuccess,sir_gain_dB,fSNR_dB,SIR,SNR,SE,PPV,F1,TP,FP,FN,ACC
3.0,69.0,150.77435586635448,0.5294117647058824,117.2536231884058,135.17094651813565,0.11594202898550725,a01.csv,0.36363636363636365,125.08179226846154,152.09149906830302,False,11.72855107588144,9.00213642402017,-8.496957586813892,-17.79764006748264,0.3241,0.5281,0.4017,47,42,98,0.2513
,,,,,,,a02.csv,0.3017241379310345,150.900062855774,160.42780748663102,False,8.524069508579267,9.545268359665473,,,0.2375,0.3248,0.2744,38,79,122,0.159
0.0,90.0,187.3945010180619,0.3707865168539326,117.44444444444444,137.66553671852662,0.15555555555555556,a03.csv,0.816793893129771,140.90355065001788,130.1518438177874,True,9.497521492706886,7.011657713722284,-2.0811733064769387,-4.822895050484119,0.9531,0.9242,0.9385,122,10,6,0.8841
1.0,80.0,162.54747960024693,0.5696202531645569,113.1125,132.90722798252924,0.15,a04.csv,0.9453125,130.2104378557717,128.75536480686694,True,8.703726930191259,8.059625495457949,2.139987216037244,-1.5801107434503783,0.9922,0.9922,0.9922,128,1,1,0.9846
1.0,83.0,167.01475223849602,0.5,115.09638554216868,131.91835280668462,0.10843373493975904,a05.csv,0.9465648854961832,135.50602918112546,128.6175110972236,True,7.743696794582862,7.0598784302518505,1.2570702633428577,-1.2109574312683762,0.9922,0.9697,0.9808,128,4,1,0.9624
2.0,89.0,184.60334551915966,0.43181818181818177,111.62359550561797,126.04697492459091,0.0898876404494382,a06.csv,0.4492753623188406,85.58274152769293,161.29032258064515,False,8.896088205988658,8.17093221100664,-5.191420264334062,-12.908895157579577,0.1375,0.3143,0.1913,22,48,138,0.1058
0.0,86.0,179.30874843820635,0.6823529411764706,115.15116279069767,133.5535777863509,0.10465116279069768,a07.csv,0.3626373626373627,124.91164227321893,130.43478260869566,False,8.26138362257576,7.744277230410789,-8.079589877976403,-14.268105836766884,0.1769,0.25,0.2072,23,69,107,0.1156
3.0,74.0,151.6876345181284,0.410958904109589,117.9054054054054,136.35179064028023,0.13513513513513514,a08.csv,0.952755905511811,127.99657902395454,127.65957446808511,True,6.633227671456416,6.651682984786511,1.3231051737715342,0.37902284798708574,0.9766,0.9766,0.9766,125,3,3,0.9542
3.0,4.0,146.09204614454745,0.6666666666666667,84.375,108.11423356801824,0.25,a09.csv,0.5321100917431192,129.1089165100039,130.1518438177874,False,7.859897972990014,15.00781800955997,-10.751968873066224,-15.79678652078045,0.2923,0.3455,0.3167,38,72,92,0.1881
3.0,81.0,170.65445209507877,0.22499999999999998,99.37654320987654,109.70219226457746,0.06172839506172839,a10.csv,0.44705882352941173,103.83778893119711,183.4862385321101,False,8.989856580659799,8.616596457665922,-6.180299923721728,-13.722557078452308,0.1429,0.2907,0.1916,25,61,150,0.1059
1.0,93.0,189.4998856831063,0.40217391304347827,112.72043010752688,128.46249609604277,0.11827956989247312,a11.csv,0.53,116.37322486083265,140.18691588785046,False,8.690501632352643,11.675223847102847,-10.367019631494967,-16.3019757999695,0.2143,0.297,0.249,30,71,110,0.1422
0.0,87.0,174.9806554464532,0.8488372093023255,106.94252873563218,123.84131949310417,0.12643678160919541,a12.csv,0.8768115942028986,145.7880789915336,136.36363636363637,True,9.543406133921044,7.967638150366897,-0.7752813011241086,-5.330609468137967,0.942,0.9353,0.9386,130,9,8,0.8844
0.0,81.0,165.48202353235155,0.4375,121.54938271604938,140.83381547145171,0.12345679012345678,a13.csv,0.8230088495575221,120.3901524147398,125.78616352201259,True,10.62917634442751,7.606361823275614,-4.415088943760366,-10.019005131707578,0.8413,0.9298,0.8833,106,8,20,0.791
0.0,89.0,185.21337916017822,0.5113636363636364,109.97752808988764,128.4489580785328,0.1348314606741573,a14.csv,0.792,132.21730904427767,125.0,True,9.586967904682375,6.427828353476377,-2.1503441988274723,-4.285699471942017,0.9268,0.9048,0.9157,114,12,9,0.8444
1.0,74.0,147.99141715690322,0.6849315068493151,95.16216216216216,113.14846143153837,0.16216216216216217,a15.csv,0.5,147.90398473489458,132.4503311258278,False,3.9321353668682706,9.740947947426896,-5.371266755103997,0.7039679049884249,0.7239,0.776,0.749,97,28,37,0.5988
0.0,91.0,181.9428004143471,0.6888888888888889,119.39010989010988,136.88198775378947,0.0989010989010989,a16.csv,0.4591836734693877,128.96997279750755,130.1518438177874,False,7.894220488339105,8.78814313723902,-9.570386152320934,-14.71016881063974,0.1769,0.2323,0.2009,23,76,107,0.1117
1.0,87.0,176.12908132490475,0.5581395348837209,118.60919540229885,135.39681994262168,0.14942528735632185,a17.csv,0.9253731343283582,138.21767201986586,132.15859030837004,True,6.955635334097207,5.791698339050535,0.6952766628406262,-0.8394706364464062,1.0,0.9778,0.9888,132,3,0,0.9778
3.0,87.0,181.09862421614008,0.15116279069767447,101.5,113.94746974842822,0.12643678160919541,a18.csv,0.5294117647058824,121.5566163772235,150.37593984962405,False,8.927007156708951,11.264959763199125,,,0.1467,0.2136,0.1739,22,81,128,0.0952
1.0,72.0,144.78443385164255,0.8450704225352113,115.97916666666667,134.29449138615726,0.125,a19.csv,0.8,131.50839730887486,127.25358954982188,True,10.327698875419632,5.696069831457406,-3.599930666238528,-8.24536418062784,0.8819,0.9256,0.9032,112,9,15,0.8235
0.0,85.0,170.64844595684858,0.6428571428571428,119.34117647058824,137.5509958909358,0.10588235294117647,a20.csv,0.7622950819672132,137.8846377238586,130.86166053029655,True,10.370333944566163,6.697561921808719,-3.4785909669020145,-9.620857736202204,0.8473,0.9024,0.874,111,12,20,0.7762
0.0,90.0,180.87189276528053,0.651685393258427,108.56111111111112,125.04857944903742,0.1111111111111111,a21.csv,0.29807692307692313,136.18904265780017,144.23076923076923,False,11.048179149270387,7.929159560355252,-7.907986896220589,-16.796569652200578,0.3379,0.4667,0.392,49,56,96,0.2438
1.0,80.0,161.0592011330936,0.6075949367088608,119.19375,139.2069165846295,0.175,a22.csv,0.952755905511811,129.94402057809003,125.52301255230127,True,8.169223894427804,6.7765950282133725,1.418906758377841,-1.2295762531927599,1.0,0.9844,0.9921,126,2,0,0.9844
0.0,77.0,155.09967791468165,0.7631578947368421,119.45454545454545,138.03495698789257,0.12987012987012986,a23.csv,0.8067226890756303,129.68061157948256,126.84989429175477,True,9.733689587241933,6.182355288783937,-3.9509833665449574,-8.510484105487139,0.873,0.9167,0.8943,110,10,16,0.8088
1.0,79.0,163.87910607712408,0.39743589743589747,125.86708860759494,144.33756364329076,0.10126582278481013,a24.csv,0.7931034482758621,126.7796320474549,123.71134020618557,True,10.432076465488047,8.30465330930376,-2.459583181187068,-9.045306655593599,0.878,0.9231,0.9,108,9,15,0.8182
1.0,78.0,157.57457779274455,0.6493506493506493,116.85897435897436,134.0954740244657,0.08974358974358974,a25.csv,0.7207207207207207,126.34078691677975,124.87006237006237,True,10.023499459149205,6.909465256342287,-2.4128360943415212,-7.293487790229107,0.8,0.8929,0.8439,100,12,25,0.7299
